Grammar Section,Title,Example
Common Prepositional Phrases & Collocations,Interested in (not "interested on/for"),
Common Prepositional Phrases & Collocations,Depend(s) on (not "depend of"),
Common Prepositional Phrases & Collocations,Consist of (not "consist from"),
Common Prepositional Phrases & Collocations,Focus on,
Common Prepositional Phrases & Collocations,Work on (something) / Work for (someone) / work to (purpose),
Common Prepositional Phrases & Collocations,Good at / Bad at (ability),
Common Prepositional Phrases & Collocations,Happy with (something)/ happy for (someone)/ Happy to (purpose) / Satisfied with,
Common Prepositional Phrases & Collocations,Sad about,
Common Prepositional Phrases & Collocations,Arrive in (a city/country) / Arrive at (a building/event),
Common Prepositional Phrases & Collocations,Apply for (a job) / Apply to (a company/university),
Common Prepositional Phrases & Collocations,Wait for (something/someone) / to (do something),
Common Prepositional Phrases & Collocations,Pay for / by (means of transaction) (cheque card (in cash)) (methods of payment),
Common Prepositional Phrases & Collocations,Believe in (harm),
Common Prepositional Phrases & Collocations,Agree with (a person) / Agree on (a topic/plan),
Common Prepositional Phrases & Collocations,Think about (consider) / Think of (recall or have an idea),
Common Verb + Noun Collocations (Natural Pairings),Take a break / Take a look / Take a picture / Take notes,
Common Verb + Noun Collocations (Natural Pairings),Make a decision / Make a mistake / Make a call / Make progress,
Common Verb + Noun Collocations (Natural Pairings),Do your best / Do business / Do research / Do the dishes,
Common Verb + Noun Collocations (Natural Pairings),Have a meeting / Have a question / Have an idea / Have a feeling,
Common Verb + Noun Collocations (Natural Pairings),Give advice / Give a presentation / Give it a try / Give someone a hand (help),
Common Verb + Noun Collocations (Natural Pairings),Save time / Save money,
Common Verb + Noun Collocations (Natural Pairings),Spend time / spend money,
Common Verb + Noun Collocations (Natural Pairings),Waste time / waste money,
Common Verb + Noun Collocations (Natural Pairings),Set a goal / Set a deadline / Set an alarm,
Common Verb + Noun Collocations (Natural Pairings),Meet a deadline / Meet a goal / Meet the requirements (cumplir),
Common Verb + Noun Collocations (Natural Pairings),Greedy,
Common Verb + Noun Collocations (Natural Pairings),Run a company / Run a meeting / Run (bump) into someone (meet unexpectedly), We are running into problems in the current project ## We might run into some issues if you pressure us into delivering before doing all the necessary due diligence and testing.
Common Filler & Transition Phrases,To be honest / Honestly... (Frankly),
Common Filler & Transition Phrases,Actually... (Often used to gently correct or add nuance),
Common Filler & Transition Phrases,Basically... / Essentially... (To summarize the core idea),
Common Filler & Transition Phrases,I mean... (To clarify or rephrase),
Common Filler & Transition Phrases,You know... (Seeking agreement or acknowledgment),
Common Filler & Transition Phrases,Sort of / Kind of (To soften a statement: "It's kind of difficult.") /Sorav/ (more or less / a type of sth), Is The task difficult? Sort of
Common Filler & Transition Phrases,As a matter of fact... / In fact... (A more natural alternative),
Common Filler & Transition Phrases,On the other hand... (To introduce a contrasting point),
Common Filler & Transition Phrases,By the way... (To introduce a new related topic) BTW,
Common Filler & Transition Phrases,At the end of the day... (Ultimately or when everything is considered),Al final de todo lo que importa es la familia ### In conclusion
Common Filler & Transition Phrases,In conclusion,
Common Adjectives with Typical Follow-Ups,Full of (energy-ideas-surprises),
Common Adjectives with Typical Follow-Ups,Aware of → Tener consciencia o conocimiento de esto,Where you aware of this ?## Sorry I wasn’t aware I had to do this ## Yes boss I’m well aware of what this task requires.
Common Adjectives with Typical Follow-Ups,Capable of → I’m capable of delivering,
Common Adjectives with Typical Follow-Ups,Familiar with → I’m not familiar with that coding language.,
Common Adjectives with Typical Follow-Ups,family oriented (familiar) → I’m a very family oriented person.,
Common Adjectives with Typical Follow-Ups,Responsible for,
Common Adjectives with Typical Follow-Ups,Similar to / Different from,
Common Adjectives with Typical Follow-Ups,Tired of,
Common Adjectives with Typical Follow-Ups,Tend to (suelo),
Common Adjectives with Typical Follow-Ups,Used to (solía),
Common Adjectives with Typical Follow-Ups,Be used to (estar acostumbrado), I’m used to waking up early,
Common Adjectives with Typical Follow-Ups,Get used to (el proceso de acostumbrarse), (tendré que acostumbrarme a levantarme temprano) - I’ll have to get used to waking up early
Useful "Phrasal Verbs" (Verb + Particle),Figure out (solve or understand),"I need to figure out this problem."
Useful "Phrasal Verbs" (Verb + Particle),Find out (discover information),"Let me find out when the meeting is."
Useful "Phrasal Verbs" (Verb + Particle),Point out (indicate or mention),"He pointed out a mistake in the report."
Useful "Phrasal Vb (Verb + Particle),Carry out (perform or execute),"We need to carry out the plan."
Useful "Phrasal Verbs" (Verb + Particle),End up (eventually do or become),"We ended up choosing the first option."
Useful "Phrasal Verbs" (Verb + Particle),Look into (investigate),"I'll look into that issue for you."
Useful "Phrasal Verbs" (Verb + Particle),Catch up (get to the same point),"Let's have coffee to catch up." OR "I need to catch up on my emails."
Useful "Phrasal Verbs" (Verb + Particle),Get back to (someone) (return contact),"I'll get back to you with an answer tomorrow."
